type,pd_code,ed_code,pd_name,ed_name,electors,polled,rejected,valid,UPFA,UNP,ITAK,JHU,SLMC,UPF,EPDP,JSP,USP,CDUA,NLF,DPLF,IP1D,UMPA,ULF,IP7D,NPP,SMBP,IP9D,IP6D,S,IP5D,SLPF,IP8D,IP3D,IP2D,RJP,IP4D,SLNF,TLP,SLMK,SEP,DUNF,IP4-ED,IP3-ED,IP1-ED,IP2-ED,;P7D,;P4D
pd,10I,10,Nallur,Jaffna,67672,27124,1465,25659,0,0,22321,5,14,0,2431,0,32,0,30,0,800,0,0,0,0,0,0,0,5,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0
pd,10_D,10,Displaced Votes - Jaffna District,Jaffna,6080,3675,277,3398,0,0,1209,1,1717,0,443,0,12,0,1,0,9,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
pd,10P,10,Postal Votes - Jaffna District,Jaffna,4056,3985,39,3946,0,0,3175,1,1,0,420,0,1,0,7,0,340,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,11A,11,Mannar,Vanni,72980,34576,2726,31850,179,4413,25631,2,0,0,476,0,92,0,6,945,7,0,0,2,0,17,43,4,0,0,0,3,22,2,4,2,0,0,0,0,0,0,0,0,0,0,0
pd,11B,11,Vavuniya,Vanni,100185,61232,4846,56386,4713,10724,35012,58,0,0,488,0,158,0,44,4908,13,0,0,2,0,37,113,10,0,57,0,12,22,9,1,5,0,0,0,0,0,0,0,0,0,0,0
pd,11C,11,Mullaitivu,Vanni,53439,30462,1895,28567,391,277,27667,3,0,0,68,0,7,0,4,71,4,0,0,0,0,2,60,4,0,0,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,11P,11,Postal Votes - Vanni District,Vanni,0,4243,198,4045,1132,799,1942,10,0,0,52,0,1,0,3,104,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,12A,12,Kalkudah,Batticaloa,86626,74645,3862,70783,2706,1364,43503,3,22244,0,568,7,15,0,41,44,52,38,0,13,0,0,0,5,0,2,75,30,5,20,4,12,32,0,0,0,0,0,0,0,0,0,0
pd,12B,12,Batticaloa,Batticaloa,141190,111403,5592,105811,22716,3819,57144,6,19612,0,1099,24,36,0,57,711,37,307,0,12,0,0,0,22,0,17,72,31,17,36,6,18,12,0,0,0,0,0,0,0,0,0,0
pd,12C,12,Padiruppu,Batticaloa,76112,63243,3125,60118,299,877,57052,5,652,0,821,1,20,0,20,248,13,12,0,5,0,0,0,7,0,2,7,22,4,9,14,23,5,0,0,0,0,0,0,0,0,0,0
pd,12P,12,Postal Votes - Batticaloa District,Batticaloa,0,4732,69,4663,547,91,3312,3,623,0,68,0,0,0,1,7,0,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,13A,13,Ampara,Digamadulla,132371,97561,7061,90425,55729,31525,62,945,1681,0,232,33,49,0,28,0,0,66,30,4,0,7,0,2,0,7,17,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
pd,13B,13,Sammanturai,Digamadulla,63166,50894,2955,47862,19117,1664,8976,1,17688,0,178,8,4,0,10,0,0,109,3,2,0,21,0,3,0,7,66,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
pd,13C,13,Kalmunai,Digamadulla,60456,49231,2506,46504,9189,971,13842,2,21978,0,252,6,4,0,4,0,0,84,5,0,0,16,2,2,0,15,65,19,45,0,1,2,0,0,0,0,0,0,0,0,0,0,0
pd,13D,13,Potuvil,Digamadulla,123051,100332,5227,94950,22192,5723,31890,81,33787,0,923,18,45,0,8,0,1,71,7,4,0,41,2,13,0,11,122,3,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0
pd,13P,13,Postal Votes - Digamadulla District,Digamadulla,0,10607,515,10088,5520,2238,763,101,1429,0,26,1,2,0,0,0,0,5,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,14A,14,Seruwila,Trincomalee,63161,43944,2424,41520,19607,10346,6178,563,4647,0,61,0,0,0,12,0,11,32,0,0,0,12,0,9,0,14,0,0,14,1,11,2,0,0,0,0,0,0,0,0,0,0,0
pd,14B,14,Trincomalee,Trincomalee,86277,70420,3073,67347,6229,3193,43880,119,13378,0,393,0,0,0,35,0,16,33,0,0,0,10,0,17,0,13,0,0,6,4,17,4,0,0,0,0,0,0,0,0,0,0,0
pd,14C,14,Mutur,Trincomalee,74869,68505,3080,65425,1854,689,17005,21,45523,0,49,0,0,0,32,0,31,50,0,0,0,42,0,30,0,26,0,0,2,14,53,4,0,0,0,0,0,0,0,0,0,0,0
pd,14_D,14,Displaced Votes - Trincomalee District,Trincomalee,457,343,13,330,1,2,132,0,193,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pd,14P,14,Postal Votes - Trincomalee District,Trincomalee,0,8581,273,8308,3362,1463,1892,88,1450,0,37,0,0,0,8,0,2,2,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,15A,15,Galgamuwa,Kurunegala,88822,65442,3061,62355,36037,25377,0,795,0,0,0,31,16,0,11,0,1,41,9,4,0,4,8,0,2,2,3,7,1,0,0,0,3,1,2,0,0,0,0,0,0,0,0
pd,15B,15,Nikaweratiya,Kurunegala,80736,58185,4086,54066,29545,22885,0,1427,0,0,0,88,25,0,11,0,1,34,13,2,0,4,4,4,1,2,3,2,2,1,4,1,3,1,3,0,0,0,0,0,0,0,0
pd,15C,15,Yapahuwa,Kurunegala,96817,70300,3271,67011,37155,28281,0,1387,0,0,0,48,23,0,22,0,2,48,10,1,0,2,7,0,3,4,2,1,4,1,0,2,4,4,0,0,0,0,0,0,0,0,0
pd,15D,15,Hiriyala,Kurunegala,83535,58082,3326,54737,26607,25167,0,2740,0,0,0,63,25,0,34,0,0,56,10,2,0,4,5,0,1,4,0,4,5,1,2,2,2,2,1,0,0,0,0,0,0,0,0
pd,15N,15,Dodangaslanda,Kurunegala,61727,44557,2739,41800,22426,18073,0,1138,0,0,0,47,19,0,21,0,0,46,10,0,0,2,7,1,0,1,0,2,1,0,1,0,0,3,2,0,0,0,0,0,0,0,0
pd,15E,15,Wariyapola,Kurunegala,65847,48772,2617,46145,24886,19554,0,1569,0,0,0,41,12,0,18,0,0,27,7,1,0,2,1,1,0,6,2,1,1,1,0,1,5,8,1,0,0,0,0,0,0,0,0
pd,15F,15,Panduwasnuwara,Kurunegala,64979,47658,2319,45325,22103,21297,0,1803,0,0,0,39,12,0,16,0,2,26,11,0,0,2,1,2,3,2,1,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0
pd,15G,15,Bingiriya,Kurunegala,75985,56946,2190,54727,27815,24120,0,2504,0,0,0,130,22,0,35,0,3,37,19,1,0,1,10,0,0,5,3,2,3,3,0,2,3,3,6,0,0,0,0,0,0,0,0
pd,15K,15,Polgahawela,Kurunegala,68091,50453,2090,48349,24473,20435,0,3237,0,0,0,86,16,0,27,0,2,30,8,1,0,3,5,0,3,7,1,2,1,1,0,1,3,5,2,0,0,0,0,0,0,0,0
pd,15H,15,Katugampola,Kurunegala,83645,62788,3021,59746,31388,24936,0,3212,0,0,0,80,17,0,18,0,1,31,17,3,0,4,4,0,6,6,3,3,3,3,2,1,3,2,3,0,0,0,0,0,0,0,0
pd,15I,15,Kuliyapitiya,Kurunegala,86416,64157,3455,60667,29878,27127,0,3413,0,0,0,109,23,0,18,0,4,39,19,0,0,10,2,1,0,0,0,2,5,3,2,0,4,3,5,0,0,0,0,0,0,0,0
pd,15J,15,Dambadeniya,Kurunegala,83250,62543,2641,59890,31740,24528,0,3422,0,0,0,80,19,0,13,0,1,25,26,0,0,7,4,0,1,1,5,2,3,1,0,3,5,1,3,0,0,0,0,0,0,0,0
pd,15L,15,Kurunegala,Kurunegala,74368,54414,2089,52309,23472,23242,0,5347,0,0,0,92,9,0,45,0,2,37,16,4,0,5,5,1,3,0,1,0,2,2,3,3,1,10,7,0,0,0,0,0,0,0,0
pd,15M,15,Mawathagama,Kurunegala,75264,54614,2753,51843,24974,23158,0,3391,0,0,0,109,25,0,42,0,2,65,15,0,0,10,7,0,1,13,4,3,2,0,1,4,5,11,1,0,0,0,0,0,0,0,0
pd,15P,15,Postal Votes - Kurunegala District,Kurunegala,0,34997,603,34390,19658,12588,0,2074,0,0,0,15,2,0,18,0,3,8,1,1,0,4,0,1,1,0,0,2,3,0,2,2,5,0,2,0,0,0,0,0,0,0,0
pd,16A,16,Puttalam,Puttalam,90004,59934,4867,55007,20069,34273,0,303,0,0,0,147,37,0,26,0,6,69,13,0,0,3,8,4,17,0,6,3,2,4,2,2,1,0,4,0,0,0,0,0,0,8,0
pd,16B,16,Anamaduwa,Puttalam,92596,63550,5761,57757,33715,22547,0,1231,0,0,0,98,31,0,24,0,4,47,18,0,0,1,1,11,3,2,5,4,1,6,3,0,2,0,0,0,0,0,0,0,0,3,0
pd,16C,16,Chilaw,Puttalam,98394,68018,4169,63814,31124,29934,0,2352,0,0,0,205,26,0,42,0,4,61,19,0,0,3,1,3,10,2,3,1,1,6,2,1,3,0,7,0,0,0,0,0,0,4,0
pd,16D,16,Nattandiya,Puttalam,76097,51477,2953,48499,25270,20461,0,2466,0,0,0,179,22,0,33,0,0,18,16,0,0,3,0,3,1,2,4,1,1,7,3,2,1,0,2,0,0,0,0,0,0,4,0
pd,16E,16,Wennappuwa,Puttalam,92966,61495,3542,57931,29042,25378,0,3208,0,0,0,151,16,0,40,0,2,31,24,0,0,7,0,5,6,0,0,1,5,6,2,1,3,0,2,0,0,0,0,0,0,1,0
pd,16P,16,Postal Votes - Puttalam District,Puttalam,0,6720,139,6580,3564,2559,0,440,0,0,0,5,0,0,4,0,0,3,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
pd,17A,17,Medawachchiya,Anuradhapura,68897,48934,2361,46573,27978,17809,0,484,0,0,0,38,191,0,9,0,6,0,0,0,0,3,0,0,6,17,1,0,9,0,2,15,5,0,0,0,0,0,0,0,0,0,0
pd,17B,17,Horowupotana,Anuradhapura,65482,46322,2309,44013,24924,18231,0,500,0,0,0,51,244,0,9,0,4,0,0,0,0,4,0,0,4,12,1,0,8,2,5,11,3,0,0,0,0,0,0,0,0,0,0
pd,17C,17,Anuradhapura-East,Anuradhapura,77391,56754,3134,53620,30591,20623,0,2045,0,0,0,70,164,0,48,0,4,0,0,0,0,6,0,0,11,23,2,0,5,8,1,12,7,0,0,0,0,0,0,0,0,0,0
pd,17G,17,Kekirawa,Anuradhapura,66036,48271,2725,45546,24446,19606,0,1165,0,0,0,65,186,0,21,0,4,0,0,0,0,4,0,0,1,11,11,0,3,3,2,14,4,0,0,0,0,0,0,0,0,0,0
pd,17D,17,Anuradhapura-West,Anuradhapura,81435,57822,3401,54421,28821,23876,0,1260,0,0,0,81,254,0,26,0,5,0,0,0,0,6,0,0,22,30,9,0,7,3,3,16,2,0,0,0,0,0,0,0,0,0,0
pd,17E,17,Kalawewa,Anuradhapura,102138,75577,4454,71123,42639,26744,0,1314,0,0,0,74,242,0,41,0,4,0,0,0,0,2,0,0,2,15,5,0,12,6,1,20,2,0,0,0,0,0,0,0,0,0,0
pd,17F,17,Mihintale,Anuradhapura,52770,38431,2253,36178,21008,14336,0,602,0,0,0,36,132,0,17,0,6,0,0,0,0,2,0,0,4,16,4,0,3,2,0,9,1,0,0,0,0,0,0,0,0,0,0
pd,17P,17,Postal Votes - Anuradhapura District,Anuradhapura,0,21295,644,20651,12536,7387,0,664,0,0,0,17,26,0,6,0,0,0,0,0,0,1,0,0,1,2,0,0,2,2,1,3,3,0,0,0,0,0,0,0,0,0,0
pd,18A,18,Minneriya,Polonnaruwa,70308,52711,3746,48944,30342,17522,0,850,0,0,0,32,152,0,12,0,3,0,0,0,0,7,4,0,0,2,0,2,3,4,1,4,4,0,0,0,0,0,0,0,0,0,0
pd,18B,18,Medirigiriya,Polonnaruwa,66605,50311,3035,47260,26114,20522,0,388,0,0,0,23,182,0,8,0,2,0,0,2,0,2,4,2,0,1,0,1,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0
pd,18C,18,Polonnaruwa,Polonnaruwa,117148,88533,5683,82836,45936,35420,0,1067,0,0,0,59,290,0,20,0,8,0,0,2,0,3,5,3,0,1,0,2,2,3,4,3,8,0,0,0,0,0,0,0,0,0,0
pd,18P,18,Postal Votes - Polonnaruwa District,Polonnaruwa,0,6379,209,6170,3851,2200,0,108,0,0,0,2,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0
pd,19A,19,Mahiyangane,Badulla,74365,55733,3442,52291,27727,23822,0,363,0,0,0,47,76,0,27,0,4,0,89,58,0,16,0,18,8,9,3,0,6,6,3,9,0,0,0,0,0,0,0,0,0,0,0
pd,19B,19,Wiyaluwa,Badulla,42921,30704,2556,28148,14805,12874,0,211,0,0,0,33,50,0,3,0,7,0,55,51,0,9,0,16,8,7,2,0,3,5,5,4,0,0,0,0,0,0,0,0,0,0,0
pd,19C,19,Passara,Badulla,52719,39025,3628,35397,13779,21016,0,279,0,0,0,79,77,0,12,0,5,0,94,23,0,4,0,11,2,4,1,0,1,3,3,4,0,0,0,0,0,0,0,0,0,0,0
pd,19G,19,Welimada,Badulla,62308,48373,3851,44522,23040,20441,0,775,0,0,0,67,53,0,8,0,3,0,67,32,0,6,0,12,3,2,3,0,2,0,3,5,0,0,0,0,0,0,0,0,0,0,0
pd,19D,19,Badulla,Badulla,46872,34711,1980,32731,15103,15825,0,1586,0,0,0,45,43,0,18,0,7,0,45,21,0,2,0,9,4,3,3,0,4,9,0,4,0,0,0,0,0,0,0,0,0,0,0
pd,19E,19,Hali-Ela,Badulla,55733,41986,3886,38100,17926,19125,0,725,0,0,0,64,66,0,13,0,8,0,81,36,0,6,0,17,1,5,5,0,6,2,3,11,0,0,0,0,0,0,0,0,0,0,0
pd,19F,19,Uva-Paranagama,Badulla,53690,41974,3275,38699,19946,18030,0,357,0,0,0,62,52,0,113,0,3,0,67,30,0,2,0,20,3,1,2,0,1,3,6,1,0,0,0,0,0,0,0,0,0,0,0
pd,19H,19,Bandarawela,Badulla,67710,51128,3780,47348,21784,23791,0,1343,0,0,0,158,79,0,19,0,4,0,73,44,0,6,0,24,3,5,5,0,1,2,5,2,0,0,0,0,0,0,0,0,0,0,0
pd,19I,19,Haputale,Badulla,54797,41183,3475,37708,15499,21258,0,639,0,0,0,45,92,0,26,0,3,0,73,34,0,1,0,14,4,4,4,0,3,6,1,2,0,0,0,0,0,0,0,0,0,0,0
pd,19P,19,Postal Votes - Badulla District,Badulla,0,15520,286,15234,9025,5523,0,654,0,0,0,10,0,0,9,0,1,0,3,0,0,4,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0
pd,20A,20,Bibile,Moneragala,65934,48782,3255,45527,27149,17851,0,293,0,0,0,35,41,0,13,0,3,0,82,22,0,3,0,9,4,5,0,0,4,5,2,4,2,0,0,0,0,0,0,0,0,0,0
pd,20B,20,Moneragala,Moneragala,83194,61138,4142,56996,34503,21593,0,586,0,0,0,54,42,0,26,0,5,0,78,43,0,7,0,14,4,7,2,0,3,4,5,10,10,0,0,0,0,0,0,0,0,0,0
pd,20C,20,Wellawaya,Moneragala,113614,87501,5296,82205,51137,29102,0,1618,0,0,0,68,50,0,34,0,8,0,112,22,0,8,0,16,3,4,2,0,4,9,3,1,4,0,0,0,0,0,0,0,0,0,0
pd,20P,20,Postal Votes - Moneragala District,Moneragala,0,7508,123,7385,4667,2521,0,178,0,0,0,1,2,0,3,0,1,0,3,0,0,1,0,0,0,1,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0
pd,21A,21,Eheliyagoda,Ratnapura,81652,63984,3220,60764,31341,24934,0,3142,0,0,0,74,104,0,944,0,4,0,94,48,0,7,0,28,1,18,4,0,5,3,5,2,6,0,0,0,0,0,0,0,0,0,0
pd,21B,21,Ratnapura,Ratnapura,97357,77139,3926,73213,37386,29670,0,5605,0,0,0,144,67,0,79,0,4,0,120,41,0,8,0,30,20,13,4,0,2,10,4,3,3,0,0,0,0,0,0,0,0,0,0
pd,21C,21,Pelmadulla,Ratnapura,63305,51582,3069,48513,23403,22745,0,1979,0,0,0,52,100,0,50,0,1,0,83,39,0,3,0,21,4,9,4,0,5,6,4,1,4,0,0,0,0,0,0,0,0,0,0
pd,21D,21,Balangoda,Ratnapura,85285,66879,4340,62539,32042,27685,0,2364,0,0,0,87,87,0,53,0,5,0,81,51,0,6,0,30,4,23,1,0,4,4,5,4,3,0,0,0,0,0,0,0,0,0,0
pd,21H,21,Kolonna,Ratnapura,111570,85241,4795,80446,48051,28117,0,3749,0,0,0,111,84,0,79,0,8,0,104,42,0,10,0,31,6,15,8,0,14,2,3,6,6,0,0,0,0,0,0,0,0,0,0
pd,21E,21,Rakwana,Ratnapura,81393,63379,3408,59971,29509,28453,0,1644,0,0,0,46,74,0,26,0,4,0,95,41,0,9,0,23,2,15,2,0,5,9,7,3,4,0,0,0,0,0,0,0,0,0,0
pd,21F,21,Nivitigala,Ratnapura,75915,62240,3134,59106,32331,25321,0,1076,0,0,0,41,89,0,65,0,11,0,95,25,0,2,0,22,7,10,2,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,21G,21,Kalawana,Ratnapura,50558,41442,2322,39120,22501,15726,0,660,0,0,0,28,43,0,26,0,3,0,64,20,0,5,0,14,3,9,5,0,5,0,4,3,1,0,0,0,0,0,0,0,0,0,0
pd,21P,21,Postal Votes - Ratnapura District,Ratnapura,0,8463,132,8331,4886,2839,0,582,0,0,0,2,1,0,14,0,0,0,2,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,22A,22,Dedigama,Kegalle,78357,60780,3132,57651,28964,26328,0,2095,0,0,0,36,77,0,16,0,6,37,0,2,0,40,10,4,3,2,5,5,3,2,3,2,7,2,2,0,0,0,0,0,0,0,0
pd,22B,22,Galigamuwa,Kegalle,60550,45938,2373,43565,22980,18693,0,1715,0,0,0,36,44,0,18,0,1,39,0,6,0,6,7,1,0,2,2,1,2,0,0,0,2,1,7,0,0,0,0,0,0,0,2
pd,22C,22,Kegalle,Kegalle,62561,46583,2276,44307,23778,17509,0,2834,0,0,0,71,37,0,28,0,0,18,0,0,0,4,7,4,0,2,0,1,3,1,0,0,2,5,2,0,0,0,0,0,0,0,1
pd,22D,22,Rambukkana,Kegalle,58588,43793,2316,41477,22187,16858,0,2256,0,0,0,41,20,0,22,0,1,23,0,1,0,13,11,1,0,23,3,3,1,4,2,0,1,2,3,0,0,0,0,0,0,0,1
pd,22H,22,Ruwanwella,Kegalle,64110,49643,2880,46763,24746,19950,0,1760,0,0,0,83,50,0,56,0,4,29,0,1,0,5,5,1,0,2,2,3,2,1,4,0,7,0,52,0,0,0,0,0,0,0,0
pd,22E,22,Mawanella,Kegalle,76115,55727,2853,52874,23290,26099,0,3151,0,0,0,89,66,0,32,0,3,82,0,9,0,3,9,0,0,8,3,1,5,2,3,0,3,5,8,0,0,0,0,0,0,0,3
pd,22F,22,Aranayake,Kegalle,48731,35894,2032,33862,16911,15321,0,1458,0,0,0,40,46,0,12,0,3,39,0,1,0,0,8,1,0,4,2,2,1,3,4,0,1,2,2,0,0,0,0,0,0,0,1
pd,22G,22,Yatiyantota,Kegalle,64170,48876,3910,44966,22081,21500,0,1083,0,0,0,46,74,0,87,0,6,43,0,2,0,1,15,2,0,3,1,7,2,1,2,0,2,0,6,0,0,0,0,0,0,0,2
pd,22I,22,Deraniyagala,Kegalle,57117,43971,3584,40387,20436,18881,0,824,0,0,0,42,70,0,27,0,5,44,0,4,0,7,15,0,0,1,1,11,6,2,2,0,1,4,1,0,0,0,0,0,0,0,3
pd,22P,22,Postal Votes - Kegalle District,Kegalle,0,15611,329,15282,8894,5502,0,858,0,0,0,4,3,0,9,0,0,2,0,0,0,6,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
