type,pd_code,ed_code,pd_name,ed_name,electors,polled,rejected,valid,PA,UNP,SLMC,TULF,SLPF,MEP,IG.06,TELO,DPLF,IG.10,EPRLF,IG.01,IG.20,IG.13,IG.19,IG.11,IG.12,NSSP,IG.21,IG.05,IG.09,TKLO,PFF,IG.14,DWC,IG.04,SMBP
pd,15P,15,Postal Votes - Kurunegala District,Kurunegala,20989,19746,390,19356,10496,8510,0,0,161,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,16A,16,Puttalam,Puttalam,73757,52992,2944,50048,26645,23166,0,0,150,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,16B,16,Anamaduwa,Puttalam,80010,61580,2949,58613,32679,25367,0,0,439,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,16C,16,Chilaw,Puttalam,83057,64365,2723,61642,31999,29076,0,0,356,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,16D,16,Nattandiya,Puttalam,64449,49656,1804,47852,26286,21120,0,0,282,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,16E,16,Wennappuwa,Puttalam,78919,60023,2613,57410,29944,26925,0,0,338,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,16P,16,Postal Votes - Puttalam District,Puttalam,5498,5257,111,5146,3034,2017,0,0,50,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,17A,17,Medawachchiya,Anuradhapura,55792,44725,1746,42979,25041,17389,0,0,336,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,17B,17,Horowupotana,Anuradhapura,51975,42650,1552,41098,22825,17966,0,0,234,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,17C,17,Anuradhapura-East,Anuradhapura,62048,48238,1878,46360,25277,19949,0,0,849,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,17D,17,Anuradhapura-West,Anuradhapura,65367,51925,2415,49510,24306,24548,0,0,505,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,17E,17,Kalawewa,Anuradhapura,79687,66762,3160,63602,37744,25091,0,0,483,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,17F,17,Mihintale,Anuradhapura,41088,33733,1673,32060,17881,13762,0,0,290,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,17G,17,Kekirawa,Anuradhapura,50969,42249,1976,40273,20987,18886,0,0,252,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,17P,17,Postal Votes - Anuradhapura District,Anuradhapura,12033,11322,220,11102,6393,4493,0,0,128,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,18A,18,Minneriya,Polonnaruwa,57393,47608,1758,45850,24660,20379,0,0,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,18B,18,Medirigiriya,Polonnaruwa,55264,46482,1626,44856,22287,22261,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,18C,18,Polonnaruwa,Polonnaruwa,87535,69677,2984,66693,33381,32562,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,18P,18,Postal Votes - Polonnaruwa District,Polonnaruwa,3946,3745,66,3679,2110,1504,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,19A,19,Mahiyangane,Badulla,58235,48463,3083,45380,16702,27956,0,0,319,242,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0
pd,19B,19,Wiyaluwa,Badulla,36342,30185,2744,27441,12646,14340,0,0,195,93,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
pd,19C,19,Passara,Badulla,45788,38443,3731,34712,13012,21180,0,0,243,62,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0
pd,19D,19,Badulla,Badulla,40039,30898,1937,28961,14070,14147,0,0,340,258,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
pd,19E,19,Hali-Ela,Badulla,48807,40313,3419,36894,15341,20677,0,0,465,168,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0
pd,19F,19,Uva-Paranagama,Badulla,47127,40197,3095,37102,16792,19310,0,0,520,211,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0
pd,19G,19,Welimada,Badulla,53643,43869,3300,40569,18811,19935,0,0,612,154,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0
pd,19H,19,Bandarawela,Badulla,56426,45659,3255,42404,19545,21713,0,0,396,172,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0
pd,19I,19,Haputale,Badulla,48853,38672,3780,34892,14491,19574,0,0,311,92,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0
pd,19P,19,Postal Votes - Badulla District,Badulla,9372,8900,196,8704,5136,3299,0,0,154,89,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
pd,20A,20,Bibile,Moneragala,50852,42894,4140,38754,18546,18526,0,0,422,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,20B,20,Moneragala,Moneragala,64229,54889,5328,49561,27459,20277,0,0,431,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,20C,20,Wellawaya,Moneragala,84310,69567,6766,62801,29989,27463,0,0,1000,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,20P,20,Postal Votes - Moneragala District,Moneragala,3787,3618,71,3547,1961,1487,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,21A,21,Eheliyagoda,Ratnapura,71614,59540,2797,56743,30714,25070,0,0,229,538,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
pd,21B,21,Ratnapura,Ratnapura,83492,70749,3291,67458,35045,31619,0,0,303,243,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
pd,21C,21,Pelmadulla,Ratnapura,56593,49402,2541,46861,21302,25008,0,0,232,121,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
pd,21D,21,Balangoda,Ratnapura,73136,62861,3870,58997,28292,29959,0,0,373,133,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
pd,21E,21,Rakwana,Ratnapura,69702,60057,3009,57048,25324,31183,0,0,237,101,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
pd,21F,21,Nivitigala,Ratnapura,66888,59081,2812,56269,27908,27819,0,0,140,128,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
pd,21G,21,Kalawana,Ratnapura,43279,37975,1716,36259,18312,17674,0,0,75,55,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
pd,21H,21,Kolonna,Ratnapura,89903,75209,3490,71719,41894,28547,0,0,654,239,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
pd,21P,21,Postal Votes - Ratnapura District,Ratnapura,9587,9016,85,8931,4896,3871,0,0,87,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,22A,22,Dedigama,Kegalle,70142,57314,1845,55469,26678,28357,0,0,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,22B,22,Galigamuwa,Kegalle,54044,43386,1709,41677,20730,20647,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,22C,22,Kegalle,Kegalle,54933,43562,1624,41938,23084,18311,0,0,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,22D,22,Rambukkana,Kegalle,49996,39351,1560,37791,19346,17976,0,0,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,22E,22,Mawanella,Kegalle,63001,50197,2010,48187,21814,25921,0,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,22F,22,Aranayake,Kegalle,42338,34485,1406,33079,15383,17392,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,22G,22,Yatiyantota,Kegalle,57328,46291,2604,43687,19340,24145,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,22H,22,Ruwanwella,Kegalle,56451,45817,1910,43907,21536,22082,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,22I,22,Deraniyagala,Kegalle,52714,42408,2125,40283,16305,23725,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,22P,22,Postal Votes - Kegalle District,Kegalle,12878,12242,250,11992,6473,5382,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
