type,pd_code,ed_code,pd_name,ed_name,electors,polled,rejected,valid,UNP,SLFP,SLMC,TULF,IG.10,USA,MEP,ELJP,IG.12,IG.14,DPLF,USP,IG.11,ACTC,IG.17,USF,IG.21,IG.16,IG.20
pd,21A,21,Eheliyagoda,Ratnapura,60466,48324,2919,45405,26165,8628,0,0,0,0,0,235,0,0,0,10285,0,0,0,0,92,0,0
pd,21B,21,Ratnapura,Ratnapura,68694,55826,2847,52979,26289,25112,0,0,0,0,0,117,0,0,0,1359,0,0,0,0,102,0,0
pd,21C,21,Pelmadulla,Ratnapura,43236,36131,2033,34098,19493,13752,0,0,0,0,0,104,0,0,0,678,0,0,0,0,71,0,0
pd,21D,21,Balangoda,Ratnapura,58861,49033,3201,45832,27987,16662,0,0,0,0,0,130,0,0,0,931,0,0,0,0,122,0,0
pd,21E,21,Rakwana,Ratnapura,57842,47333,2849,44484,29204,14610,0,0,0,0,0,133,0,0,0,428,0,0,0,0,109,0,0
pd,21F,21,Nivitigala,Ratnapura,53422,45536,2277,43259,24875,17457,0,0,0,0,0,98,0,0,0,732,0,0,0,0,97,0,0
pd,21G,21,Kalawana,Ratnapura,36117,29346,1680,27666,16118,9494,0,0,0,0,0,90,0,0,0,1909,0,0,0,0,55,0,0
pd,21H,21,Kolonna,Ratnapura,72897,42378,2350,40028,22885,15843,0,0,0,0,0,416,0,0,0,757,0,0,0,0,127,0,0
pd,21P,21,Postal Votes - Ratnapura District,Ratnapura,5689,5463,92,5371,3307,1802,0,0,0,0,0,14,0,0,0,244,0,0,0,0,4,0,0
pd,22A,22,Dedigama,Kegalle,60616,46769,2629,44140,23006,13722,0,0,0,508,70,6834,0,0,0,0,0,0,0,0,0,0,0
pd,22B,22,Galigamuwa,Kegalle,47312,29893,1530,28363,16931,10311,0,0,0,637,91,393,0,0,0,0,0,0,0,0,0,0,0
pd,22C,22,Kegalle,Kegalle,46828,31495,1689,29806,16984,11304,0,0,0,685,153,680,0,0,0,0,0,0,0,0,0,0,0
pd,22D,22,Rambukkana,Kegalle,42695,22770,1361,21409,13525,6803,0,0,0,362,86,633,0,0,0,0,0,0,0,0,0,0,0
pd,22E,22,Mawanella,Kegalle,54137,35813,2375,33438,20193,9066,0,0,0,235,113,3831,0,0,0,0,0,0,0,0,0,0,0
pd,22F,22,Aranayake,Kegalle,36713,27893,2191,25702,16302,8682,0,0,0,171,68,479,0,0,0,0,0,0,0,0,0,0,0
pd,22G,22,Yatiyantota,Kegalle,48126,37677,2573,35104,24062,6377,0,0,0,4248,112,305,0,0,0,0,0,0,0,0,0,0,0
pd,22H,22,Ruwanwella,Kegalle,49325,36694,1822,34872,22644,4828,0,0,0,6865,142,393,0,0,0,0,0,0,0,0,0,0,0
pd,22I,22,Deraniyagala,Kegalle,43230,26815,1999,24816,15959,7421,0,0,0,1101,133,202,0,0,0,0,0,0,0,0,0,0,0
pd,22P,22,Postal Votes - Kegalle District,Kegalle,8149,7797,193,7604,4728,2154,0,0,0,356,60,306,0,0,0,0,0,0,0,0,0,0,0
